STATE	DISTRICT	HOSPITAL TYPE	CODE	HOSPITAL NAME	SPECIALITY	ADDRESSS	CONTACT NO	HOSPITAL IMAGE	AVAILABLE INSURANCE	SPECIFIC FOR 																
KERALA		GOVT. HOSPITALS		"Medical college hospitals in Thruvananthapuram, Alappuzha, Kottayam, Thrissur, Kozhikode districts.
"					KARUNYA HEALTH SCHEME:																	
KERALA		GOVT. HOSPITALS		All General hospitals in Kerala					KARUNYA HEALTH SCHEME:																	
KERALA		GOVT. HOSPITALS		All District Hospitals in Kerala					KARUNYA HEALTH SCHEME:																	
KERALA		GOVT. HOSPITALS		Taluk Hospitals in Kerala that has specialty treatments					KARUNYA HEALTH SCHEME:																	
KERALA		COOPERATIVE HOSPITALS	235 309	"Cooperative medical College Hospital, Pariyaram, Kannur
"	"The Kerala State Co-operative Hospital Complex and Centre for Advanced Medical Services Ltd., popularly known as Pariyaram Medical College Hospital (PMCH) is the biggest Super Speciality Medical Institution in the Co-operative Sector in India. A total of more than 250 doctors in 20 speciality and 8 Super Speciality departments offer quality health care services with the help of modern and advanced medical systems and highly trained paramedical and supporting staff. This hospital is in tune with the latest developments in modern medicine, to offer the best medical care at an affordable cost accessible to all sections of the society."	"Government MC Kannur Campus Rd, Pariyaram, Kerala 670503"	 0497 280 8111	https://drive.google.com/file/d/1P0PkzjiBtyMGwYWhRm3XUzdIfSx-S4w8/view?usp=sharing	KARUNYA HEALTH SCHEME:																	
KERALA		COOPERATIVE HOSPITALS		"Kochin Medical College Hospital, Kalamassery Kochi"	"Cochin Medical College, (CMC), Cochin is one among the premier medical institutions in the Kerala state. The college is governed by the Co-operative Academy of Professional Education established by the Government of Kerala. The admissions and functioning of the college is according to the rules and regulations formulated by the Government of Kerala. Now the institution is glistening with outstanding records in both academic and extracurricular fields backed by excellent faculty and full-fledged facilities 

Vision and Mission

To improve the standard of medical education in the state.
Building out quality Doctors and provide Standard health care to the public at an affordable rate.
To promote medical research."	"HMT Rd, HMT Colony, North Kalamassery, Kalamassery, Kochi, Kerala 683503"	 0484 275 4000	https://drive.google.com/file/d/1Q7qMkuy_3_eIDGlzsSemzt1zw5PCY279/view?usp=sharing	KARUNYA HEALTH SCHEME:																	
KERALA		AUTONOMOUS HOSPITALS	372	"1. Sree Chitra Tirunal Institute for Medical Sciences & Technology, Thiruvananthapuram"	"Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST) is an Institution of National Importance under the Department of Science and Technology, Govt. of India. The joint culture of medicine and technology pioneered by its founders more than three decades ago, has come of age and gained unprecedented acceptance in India. The institute has the status of a university and offers excellent research and training facilities. It has three wings: a tertiary referral super specialty hospital, a biomedical technology wing and the Achutha Menon Centre for Health Science Studies.

The Institute focuses on high quality, advanced treatment of cardiac and neurological disorders, indigenous development of technologies for biomedical devices and materials and public health training and research. The institute offers advanced treatment using modern technologies in several specialized areas such as interventional radiology, cardiac electrophysiology, deep brain stimulation for movement disorders, epilepsy surgery, pediatric cardiac surgery, base of skull and vascular surgeries, to name a few. The institute has excellent facilities and teams of professionals dedicated to the development of innovative biomedical devices and products, evaluation of medical devices to global specifications, training in novel medical specialties and research in medical and public health areas of social relevance. The Institute is a Technical Research Centre for Biomedical devices and has a medical devices incubator (TIMed)."	"Jai Nagar W Rd, Chalakkuzhi, Thiruvananthapuram, Kerala 695011"	0471 244 3152	https://drive.google.com/file/d/1n3UfNptf9MPlHYHQo6j0mgU8gXf3LJ06/view?usp=sharing	KARUNYA HEALTH SCHEME:																	
KERALA		AUTONOMOUS HOSPITALS	323	"2. Regional Cancer centre, Thiruvananthapuram"	"The Regional Cancer Centre (RCC), Thiruvananthapuram is an internationally recognised centre providing state-of-the-art facilities for cancer diagnosis, treatment, palliation and rehabilitation and conducting a wide range of research on various type of cancers.

This state-owned premier cancer care hospital and research centre is one among 28 centres in India operating under the 'National Cancer Control Programme' of the Ministry of Health and Family Welfare, Govt. of India.

"	"Medical College Kumarapuram Rd, Medical College Campus, Chalakkuzhi, Thiruvananthapuram, Kerala 695011"	0471 244 2541	https://drive.google.com/file/d/15ayt4q1SLFm1X1sg5GtQ4lMuBJ-XfiEd/view?usp=sharing	KARUNYA HEALTH SCHEME:																	
KERALA		AUTONOMOUS HOSPITALS	326	"3. Malabar Cancer Centre, Thiruvananthapuram"	"Malabar Cancer Centre is an autonomous institution under Health and Family Welfare Department, Government of Kerala registered under Societies Registration Act XXI of 1860, with an aim to establish a hospital, providing the much-required oncology care to the population of North Kerala. The main objective being establishing a modern Cancer Hospital and Research and Training Centre of international standard in treatment and prevention of cancer.

The control and management of the Society are vested in the Governing Body consisting of 23 members with the Honarable Chief Minister of Kerala as the Chairman, Honarable Minister for Health as Vice Chairman and Honarable Minister for Power as Alternate Vice-Chairman. The routine activities and functions of the Centre are supervised by the Executive Committee, with the Principal Secretary, Department of Health and Family Welfare, Government of Kerala, being the Chairman of the Committee. The members in the Governing Body and Executive Committee are functioning by virtue of their official positions.

MCC is providing a full spectrum of oncological care as an autonomous not-for-profit institution (200+bedded hospital) funded by the State Government and other sources. Patients are categorized according to their economic status, and accordingly it is expected that 20% of patients will be provided free services and about 60% on concessional rates.  It has been undertaken that no patients will be denied treatment for financial reasons. "	"MALABAR CANCER CENTRE
(An autonomous centre under Govt. of Kerala)
Moozhikkara (P.O), Kannur district, Kerala, India-670103.
"	"Phone: 0490 2355881, 2355981,2357881,2357981"	https://drive.google.com/file/d/1txAjIvNhx9QFxa04aNOn3kXEMQYLEALM/view?usp=sharing	KARUNYA HEALTH SCHEME:																	
TAMIL NADU	CHENNAI	GOVT.		Rajiv Gandhi Government General Hospital Chennai	"1.This state-owned hospital was the first in the country set up by the British in 1664.                                                                                                                                                                                                                                                                                            2. It has 3000 beds that are funded and managed by the Government of Tamil Nadu.                                                                                                                                                                                                                                                                                                3. It stands as one among the best government hospitals in the city and also performs three open-heart surgeries which are cost-free.                                                                                                                                                                                          4. It also has the second-largest number of organ donations in the State of Tamil Nadu.                                                                                                                                                                                                                                                       5. This government hospital performed its 1,000th kidney transplant which is the highest number ever recorded by any government hospital in India. So, if you are looking for affordable healthcare, then you got this one."	"GH Post Office, 3, Poonamallee High Road, Near Chennai Central, near Park Town, Chennai, Tamil Nadu 600003"	044 2530 5000	https://drive.google.com/file/d/19SxD2S26FegkOtC6ksrbImzD1lmO-cqx/view?usp=sharing	1). Chief Minister’s Comprehensive Health Insurance Scheme(CMCHIS)                                                                                                                                                                                                                                                                                                 2). New Health Insurance Scheme for Pensioners                                                                                                                                                                                                                                                                                                                                         3). Dr. Muthulakshmi Reddy Maternity Benefit Scheme																	
