,Sno,Hospital Name,Hospital Type,Hospital Address,Hospital E-Mail,Hospital Contact,Specialities Empanelled,Specialities Upgraded
0,1 ,Medical College Vandanam,                                      Public                                    ,"                  Govt TDMCH VANDANAM ALAPPUZHA, PIN 688005,         ALAPPUZHA,         KERALA                           ",supdtdmchvandanam@gmail.com,9447037787,"                                              M8,M1,M2,S8,S7,S12,M3,M7,M4,S16,S6,S10,S11,M6,M5,S15,S9,S13,S5,S4,S3,S2                                                                                             ","                               S1,S2,S3,S4,S5,S13,S14,S7,S8,S9,S15,M5,M6,S10,S11,S6,S16,M4,M1,M7,M2,M3,S12,M8                                                 "
1,2 ,TALUK HEAD QUARTERS HOSPITAL CHERTHALA,                                      Public                                    ,"                  Taluk Hospital, Cherthala p.o,         ALAPPUZHA,         KERALA                           ",thqhcherthala@gmail.com,9999999999,"                                              S5,S4,S3,S2,S1                                                                                             ","                               S2,S3,S4,S5,M1,M7,M2,S1,S16,M8                                                 "
2,3 ,THQH KAYAMKULAM,                                      Public                                    ,"                  Taluk Hospital, kayamkulam p.o,         ALAPPUZHA,         KERALA                           ",kesabraham@gmail.com,9447504668,"                                              M8,M1,M2,M7,S6,S5,S4,S3,S2,S1                                                                                             ",                               -NA-                                                 
3,4 ,DISTRICT HOSPITAL Mavelikara,                                      Public                                    ,"                  MAVELIKARA,         ALAPPUZHA,         KERALA                           ",thqhmvk@gmail.com,9495120705,"                                              M8,M1,M2,M7,S10,S11,S5,S4,S3,S2                                                                                             ","                               S1,S2,S3,S4,S5,S10,S11,M1,M7,M2,M8                                                 "
4,5 ,GENERAL HOSPITAL ALAPPUZHA,                                      Public                                    ,"                  General Hospital, Alappuzha,         ALAPPUZHA,         KERALA                           ",ghalappuzha@gmail.com,9447575730,"                                              M1,M7,S1                                                                                             ","                               S5,S7,S15,M5,S6,S16,M4,M1,M7,M3,S12,M2,S8,M8,S1,S2,S3,S10,S11                                                 "
5,6 ,THQH HARIPAD,                                      Public                                    ,"                  TALUK HEAD QUARTERS HOSPITAL,         ALAPPUZHA,         KERALA                           ",sachinsivarabha@gmail.com,9846706517,"                                              S5,S4,S1                                                                                             ","                               S2,S3,S4,S5,S14,S16,M1,M7,M2,S1                                                 "
6,7 ,"THQH, Pulincunnu",                                      Public                                    ,"                  Taluk hospital, Pulincunnu,         ALAPPUZHA,         KERALA                           ",thqhpulincunnu1@gmail.com,9447043649,"                                              M2,M1,M7,S16,S5,S4,S3,S1                                                                                             ",                               -NA-                                                 
7,8 ,TALUK HOSPITAL THURAVOOR,                                      Public                                    ,"                  TALUK HOSPITAL THURAVOOR P O CHERTHALA ALAPPUZHA,         ALAPPUZHA,         KERALA                           ",deeputhomas@gmail.com,9495581160,"                                              M2,M1,M7,S4,S2                                                                                             ","                               M1,M7,M2,S7,S2,S3,S4,S5                                                 "
8,9 ,"W &C Hospital, Alappuzha",                                      Public                                    ,"                  W&C, Beach road , alappuzha,         ALAPPUZHA,         KERALA                           ",wcalpy@gmail.com,8281771466,                                              -NA-                                                                                             ,"                               S4,M2                                                 "
9,10 ,District Hospital Chengannur,                                      Public                                    ,"                  District Hospital ,Chengannur,         ALAPPUZHA,         KERALA                           ","dhchengannur@gmail,com",9495466433,"                                              M8,M2,M1,M7,S16,S5,S4,S3,S2,S1                                                                                             ",                               -NA-                                                 
0,11 ,CHC KALADY,                                      Public                                    ,"                  COMMUNITY HEALTH CENTRE KALADY,         ERNAKULAM,         KERALA                           ",chckalady@gmail.com,9747211525,                                              S1                                                                                             ,"                               M1,M7                                                 "
1,12 ,CHC PANDAPPILLY,                                      Public                                    ,"                  CHC  PANDAPPILLY,         ERNAKULAM,         KERALA                           ",bphcpandappilly@gmail.com,8281750794,"                                              M1,M7,S4                                                                                             ",                               -NA-                                                 
2,13 ,DISTRICT HOSPITAL ALUVA,                                      Public                                    ,"                  Near KSRTC Bus stand Aluva,         ERNAKULAM,         KERALA                           ",rsbythqhaluva@gmail.com,9895620591,                                              -NA-                                                                                             ,"                               M1,M7,M2,M3,S1,S2,S3,S4,S5,M8                                                 "
