	BENEFIT COVER	DISTRICT	ELIGIBILITY	FEATURES	GOVT TYPE	OBJECTUVE	SCHEME NAME	STATE	Unnamed: 8	Unnamed: 9
0		ALL		" Ayushman Bharat, a flagship scheme of Government of India, was launched as recommended by the National Health Policy 2017, to achieve the vision of Universal Health Coverage (UHC).This initiative has been designed to meet Sustainable Development Goals (SDGs) and its underlining commitment, which is to ""leave no one behind.""
  Ayushman Bharat is an attempt to move from sectoral and segmented approach of health service delivery to a comprehensive need-based health care service. This scheme aims to undertake path breaking interventions to holistically address the healthcare system (covering prevention, promotion and ambulatory care) at the primary, secondary and tertiary level. Ayushman Bharat adopts a continuum of care approach, comprising of two inter-related components, which are
Health and Wellness Centres (HWCs)
  Pradhan Mantri Jan Arogya Yojana (PM-JAY)
 "	CENTRAL		Ayushman Bharat Health Scheme	ALL		
1		ALL		" In February 2018, the Government of India announced the creation of 1,50,000 Health and Wellness Centres (HWCs) by transforming the existing Sub Centres and Primary Health Centres. These centres are to deliver Comprehensive Primary Health Care (CPHC) bringing healthcare closer to the homes of people. They cover both, maternal and child health services and non-communicable diseases, including free essential drugs and diagnostic services.
Health and Wellness Centers are envisaged to deliver an expanded range of services to address the primary health care needs of the entire population in their area, expanding access, universality and equity close to the community. The emphasis of health promotion and prevention is designed to bring focus on keeping people healthy by engaging and empowering individuals and communities to choose healthy behaviours and make changes that reduce the risk of developing chronic diseases and morbidities."	CENTRAL		Health and Wellness Centers (HWCs)	ALL		
2	 Benefit cover under various Government-funded health insurance schemes in India have always been structured on an upper ceiling limit ranging from an annual cover of INR30,000 to INR3,00,000 per family across various States which created a fragmented system.                                                                                                                                                                                                                                                                                                                                                                                    PM-JAY provides cashless cover of up to INR5,00,000 to each eligible family per annum for listed secondary and tertiary care conditions.                                                                                                                                                                                                                                                                                                                                                                                     The cover under the scheme includes all expenses incurred on the following components of the treatment.                                                                                                                                                                                                                                                                                           The benefits of INR 5,00,000 are on a family floater basis which means that it can be used by one or all members of the family. The RSBY had a family cap of five members.                                                                                                                                                                                                                                                                                                                                                                                         However, based on learnings from those schemes, PM-JAY has been designed in such a way that there is no cap on family size or age of members. In addition, pre-existing diseases are covered from the very first day.	ALL		  PM-JAY is the world’s largest health insurance/ assurance scheme fully financed by the government.                                                                                                                                                                                                                                                                                                                                                                                        It provides a cover of Rs. 5 lakhs per family per year for secondary and tertiary care hospitalization across public and private empanelled hospitals in India.                                                                                                                                                                                                                                                                                                                                                                                           Over 10.74 crore poor and vulnerable entitled families (approximately 50 crore beneficiaries) are eligible for these benefits.                                                                                                                                                                                                                                                                                                                                                                                          PM-JAY provides cashless access to health care services for the beneficiary at the point of service, that is, the hospital.                                                                                                                                                                                                                                                                                                                                                                                                 PM-JAY envisions to help mitigate catastrophic expenditure on medical treatment which pushes nearly 6 crore Indians into poverty each year.                                                                                                                                                                                                                                                                                                                                                              It covers up to 3 days of pre-hospitalization and 15 days post-hospitalization expenses such as diagnostics and medicines.                                                                                                                                                                                                                                                                                                                                                                                         There is no restriction on the family size, age or gender.                                                                                                                                                                                                                                                                                                                                                                                               All pre–existing conditions are covered from day one.                                                                                                                                                                                                                                                                                                                                                                                           Benefits of the scheme are portable across the country i.e. a beneficiary can visit any empanelled public or private hospital in India to avail cashless treatment.                                                                                                                                                                                                                                                                                                                                                                                             Services include approximately 1,393 procedures covering all the costs related to treatment, including but not limited to drugs, supplies, diagnostic services, physician's fees, room charges, surgeon charges, OT and ICU charges etc.                                                                                                                                                                                                                                                                                                                                                                                      Public hospitals are reimbursed for the healthcare services at par with the private hospitals.	CENTRAL	" The second component under Ayushman Bharat is the Pradhan Mantri Jan Arogya Yojna or PM-JAY as it is popularly known. This scheme was launched on 23rd September, 2018 in Ranchi, Jharkhand by the Hon’ble Prime Minister of India, Shri Narendra Modi.
 Ayushman Bharat PM-JAY is the largest health assurance scheme in the world which aims at providing a health cover of Rs. 5 lakhs per family per year for secondary and tertiary care hospitalization to over 10.74 crores poor and vulnerable families (approximately 50 crore beneficiaries) that form the bottom 40% of the Indian population.
  The households included are based on the deprivation and occupational criteria of Socio-Economic Caste Census 2011 (SECC 2011) for rural and urban areas respectively.
PM-JAY was earlier known as the National Health Protection Scheme (NHPS) before being rechristened.
 It subsumed the then existing Rashtriya Swasthya Bima Yojana (RSBY) which had been launched in 2008.
  The coverage mentioned under PM-JAY, therefore, also includes families that were covered in RSBY but are not present in the SECC 2011 database.
 PM-JAY is fully funded by the Government and cost of implementation is shared between the Central and State Governments."	Ayushman Bharat-Pradhan Mantri Jan Arogya Yojana (PM-JAY)	ALL		
2	 Benefit cover under various Government-funded health insurance schemes in India have always been structured on an upper ceiling limit ranging from an annual cover of INR30,000 to INR3,00,000 per family across various States which created a fragmented system.                                                                                                                                                                                                                                                                                                                                                                                    PM-JAY provides cashless cover of up to INR5,00,000 to each eligible family per annum for listed secondary and tertiary care conditions.                                                                                                                                                                                                                                                                                                                                                                                     The cover under the scheme includes all expenses incurred on the following components of the treatment.                                                                                                                                                                                                                                                                                           The benefits of INR 5,00,000 are on a family floater basis which means that it can be used by one or all members of the family. The RSBY had a family cap of five members.                                                                                                                                                                                                                                                                                                                                                                                         However, based on learnings from those schemes, PM-JAY has been designed in such a way that there is no cap on family size or age of members. In addition, pre-existing diseases are covered from the very first day.	ALL		"  PM-JAY is the world’s largest health insurance/ assurance scheme fully financed by the government.
 It provides a cover of Rs. 5 lakhs per family per year for secondary and tertiary care hospitalization across public and private empanelled hospitals in India.
 Over 10.74 crore poor and vulnerable entitled families (approximately 50 crore beneficiaries) are eligible for these benefits.
PM-JAY provides cashless access to health care services for the beneficiary at the point of service, that is, the hospital. 
PM-JAY envisions to help mitigate catastrophic expenditure on medical treatment which pushes nearly 6 crore Indians into poverty each year.
  It covers up to 3 days of pre-hospitalization and 15 days post-hospitalization expenses such as diagnostics and medicines.
  There is no restriction on the family size, age or gender.
  All pre–existing conditions are covered from day one. 
Benefits of the scheme are portable across the country i.e. a beneficiary can visit any empanelled public or private hospital in India to avail cashless treatment.
Services include approximately 1,393 procedures covering all the costs related to treatment, including but not limited to drugs, supplies, diagnostic services, physician's fees, room charges, surgeon charges, OT and ICU charges etc.
  Public hospitals are reimbursed for the healthcare services at par with the private hospitals."	CENTRAL	" The second component under Ayushman Bharat is the Pradhan Mantri Jan Arogya Yojna or PM-JAY as it is popularly known. This scheme was launched on 23rd September, 2018 in Ranchi, Jharkhand by the Hon’ble Prime Minister of India, Shri Narendra Modi.
 Ayushman Bharat PM-JAY is the largest health assurance scheme in the world which aims at providing a health cover of Rs. 5 lakhs per family per year for secondary and tertiary care hospitalization to over 10.74 crores poor and vulnerable families (approximately 50 crore beneficiaries) that form the bottom 40% of the Indian population.
  The households included are based on the deprivation and occupational criteria of Socio-Economic Caste Census 2011 (SECC 2011) for rural and urban areas respectively.
PM-JAY was earlier known as the National Health Protection Scheme (NHPS) before being rechristened.
 It subsumed the then existing Rashtriya Swasthya Bima Yojana (RSBY) which had been launched in 2008.
  The coverage mentioned under PM-JAY, therefore, also includes families that were covered in RSBY but are not present in the SECC 2011 database.
 PM-JAY is fully funded by the Government and cost of implementation is shared between the Central and State Governments."	Ayushman Bharat-Pradhan Mantri Jan Arogya Yojana (PM-JAY)	ALL		
2	" Benefit cover under various Government-funded health insurance schemes in India have always been structured on an upper ceiling limit ranging from an annual cover of INR30,000 to INR3,00,000 per family across various States which created a fragmented system.
PM-JAY provides cashless cover of up to INR5,00,000 to each eligible family per annum for listed secondary and tertiary care conditions.
 The cover under the scheme includes all expenses incurred on the following components of the treatment.
 The benefits of INR 5,00,000 are on a family floater basis which means that it can be used by one or all members of the family. The RSBY had a family cap of five members.
  However, based on learnings from those schemes, PM-JAY has been designed in such a way that there is no cap on family size or age of members. In addition, pre-existing diseases are covered from the very first day."	ALL		"  PM-JAY is the world’s largest health insurance/ assurance scheme fully financed by the government.
 It provides a cover of Rs. 5 lakhs per family per year for secondary and tertiary care hospitalization across public and private empanelled hospitals in India.
 Over 10.74 crore poor and vulnerable entitled families (approximately 50 crore beneficiaries) are eligible for these benefits.
PM-JAY provides cashless access to health care services for the beneficiary at the point of service, that is, the hospital. 
PM-JAY envisions to help mitigate catastrophic expenditure on medical treatment which pushes nearly 6 crore Indians into poverty each year.
  It covers up to 3 days of pre-hospitalization and 15 days post-hospitalization expenses such as diagnostics and medicines.
  There is no restriction on the family size, age or gender.
  All pre–existing conditions are covered from day one. 
Benefits of the scheme are portable across the country i.e. a beneficiary can visit any empanelled public or private hospital in India to avail cashless treatment.
Services include approximately 1,393 procedures covering all the costs related to treatment, including but not limited to drugs, supplies, diagnostic services, physician's fees, room charges, surgeon charges, OT and ICU charges etc.
  Public hospitals are reimbursed for the healthcare services at par with the private hospitals."	CENTRAL	" The second component under Ayushman Bharat is the Pradhan Mantri Jan Arogya Yojna or PM-JAY as it is popularly known. This scheme was launched on 23rd September, 2018 in Ranchi, Jharkhand by the Hon’ble Prime Minister of India, Shri Narendra Modi.
 Ayushman Bharat PM-JAY is the largest health assurance scheme in the world which aims at providing a health cover of Rs. 5 lakhs per family per year for secondary and tertiary care hospitalization to over 10.74 crores poor and vulnerable families (approximately 50 crore beneficiaries) that form the bottom 40% of the Indian population.
  The households included are based on the deprivation and occupational criteria of Socio-Economic Caste Census 2011 (SECC 2011) for rural and urban areas respectively.
PM-JAY was earlier known as the National Health Protection Scheme (NHPS) before being rechristened.
 It subsumed the then existing Rashtriya Swasthya Bima Yojana (RSBY) which had been launched in 2008.
  The coverage mentioned under PM-JAY, therefore, also includes families that were covered in RSBY but are not present in the SECC 2011 database.
 PM-JAY is fully funded by the Government and cost of implementation is shared between the Central and State Governments."	Ayushman Bharat-Pradhan Mantri Jan Arogya Yojana (PM-JAY)	ALL		
3	Aam Admi Bima Yojana or AABY scheme was commenced on October 02, 2007 for rural, landless households. The National Health Insurance Scheme covers the earning member of a household between the age group of 10 & 59 years.	ALL		"Compensation provided is as follows -
  Compensation of Rs 30,000 in case of natural death
  Compensation of Rs. 75,000 in case of accidental death, partial or permanent disabilities ( loss of 2 limbs or 2 eyes)
  Compensation of Rs. 37,500 in case of partial permanent disabilities resulting from an accident (one limb or an eye)"	CENTRAL		Aam Aadmi Bima Yojana(AABY)	ALL		
3	Aam Admi Bima Yojana or AABY scheme was commenced on October 02, 2007 for rural, landless households. The National Health Insurance Scheme covers the earning member of a household between the age group of 10 & 59 years.	ALL		"Compensation provided is as follows -
  Compensation of Rs 30,000 in case of natural death
  Compensation of Rs. 75,000 in case of accidental death, partial or permanent disabilities ( loss of 2 limbs or 2 eyes)
  Compensation of Rs. 37,500 in case of partial permanent disabilities resulting from an accident (one limb or an eye)"	CENTRAL		Aam Aadmi Bima Yojana(AABY)	ALL		
4		ALL	People aged 18 to 70 and having a bank account can avail of the benefits of this scheme. This policy offers an annual cover of Rs. 1 lakh for partial disability and Rs. 2 lakhs for total disability/death for a premium of Rs. 12. The premium gets debited automatically from the insured person’s bank account.	This scheme came into existence to offer accident insurance to the people of India. In 2016, it was observed that only 20% of the Indian citizens had an insurance cover. However, Pradhan Mantri Suraksha Bima Yojana aspires to change this statistic in a positive manner.	CENTRAL		Pradhan Mantri Suraksha Bima Yojana	ALL		
4		ALL	People aged 18 to 70 and having a bank account can avail of the benefits of this scheme. This policy offers an annual cover of Rs. 1 lakh for partial disability and Rs. 2 lakhs for total disability/death for a premium of Rs. 12. The premium gets debited automatically from the insured person’s bank account.	This scheme came into existence to offer accident insurance to the people of India. In 2016, it was observed that only 20% of the Indian citizens had an insurance cover. However, Pradhan Mantri Suraksha Bima Yojana aspires to change this statistic in a positive manner.	CENTRAL		Pradhan Mantri Suraksha Bima Yojana	ALL		
5	Sum Insured:                                                                                                                                                                                                                                                                                                                                                                                        One can claim up to Rs. 30000 for various expenses that are covered under the policy.                                                                                                                                                                                                                                                    Coverage For The Family:                                                                                                                                                                                                                                                                                                                                                                      A typical Indian family of five members can benefit from this plan. The head of the family, spouse and three dependents are covered under the plan. A newborn baby can become an additional beneficiary until the expiry of the policy.                                                                                                                                                                                                                                                                                                                                                                                              No Waiting Period:                                                                                                                                                                                                                                                                                                                                             A waiting period is a time when a policyholder cannot make a claim against certain conditions as specified by the insurance company. One needs to bear the cost of treatment from their own pocket during the waiting period. However, the RSBY does not have any such clause.                                                                                                                                                                                                                                                                                                                           Pre-existing Diseases:                                                                                                                                                                                                                                                                                                                                                                        As the name suggests, a pre-existing disease is any ailment suffered by the policyholder or the beneficiaries before purchasing the policy. This includes the diseases that the policyholder may not be aware of when purchasing the policy.Usually, in health insurance policies a waiting period of 2 to 4 years is imposed on pre-existing diseases. However, these are covered under RSBY irrespective of the age of a beneficiary from the date of purchase.                                                                                                                                                                                                                                                                                                                                                                           Under RSBY, the government has fixed the hospitalization cover limit at Rs. 30,000. The government has also fixed the hospital package rates.	ALL	Beneficiary Criteria: The beneficiary should belong either to a BPL (Below Poverty Line) household; Or Should be workers belonging to unorganized categories such as construction and building workers who are registered under Welfare Boards, Street Vendors, Licensed Porters (railway), Beedi workers, MNREGA workers, Sanitation workers, Domestic workers, Mine workers, Rag pickers, Rickshaw pullers and Taxi/ Auto drivers.                                                                   Age Limit: No age limit.                                                                                                                                                                                                                                                                                                                                                                               Number of family members covered: A family unit of up to 5 members are covered under this scheme.Pre-existing illnesses are also covered without any age limit criterion. 5 family members including self, three dependents, and spouse can be covered.  The registration fee for the recipients is only 30 rupees and the premium is paid by the government to the insurance company.	"Ministry of Labour & Employment, Government of India launched this National Health Insurance Scheme for families who are below the poverty line. The aim is to offer health insurance coverage to BPL families in an economical manner.
  Health Coverage:
 A health covers of up to Rs. 30,000/- is provided per year for up to 5 members of the family on a family floater basis. This also includes pre-existing conditions right from the first day itself.
Biometric Smart Card:
 A biometric Smart Card is provided to the insured person. This contains the applicants fingerprints as well as other details in its chip. The insured person only needs to provide this smart card at the time of the claim to the hospital.
 RSBY is completely paperless and cashless:
All the required documents are submitted to the insurer electronically, making the process completely paperless. Also, the claimant only has to produce the cashless smart card to the hospital. Thus the hassle of paying in cash and waiting for reimbursement later is completely avoided."	CENTRAL		RASHTRIYA SWASTHA BIMA YOJANA(RSBY )	ALL		
