,Sno,Hospital Name,Hospital Type,Hospital Address,Hospital E-Mail,Hospital Contact,Specialities Empanelled,Specialities Upgraded
1,2 ,"Rajah Muthiah Med Coll And Hospital, Cuddalore TN.",                                      Public                                    ,"                  Cuddalore,         CUDDALORE,         TAMIL NADU                           ",chennaicc@ttkhealthservices.com,8888888888,                                              -NA-                                                                                             ,                               NA                                                 
2,3 ,"Govt. Dist. Head Quarters Hospital,Coimbatore TN.",                                      Public                                    ,"                  Coimbatore,         COIMBATORE,         TAMIL NADU                           ",cmopollachi@gmail.com,9843071104,                                              -NA-                                                                                             ,                               NA                                                 
3,4 ,"Govt.Head Quarters Hospital,Cuddalore TN.",                                      Public                                    ,"                  Cuddalore,         CUDDALORE,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,9442423515,                                              -NA-                                                                                             ,                               NA                                                 
4,5 ,"Govt. Head Quarters Hospital,Dharmapuri TN.",                                      Public                                    ,"                  Dharmapuri,         DHARMAPURI,         TAMIL NADU                           ",pennagaram.dms@gmail.com,9444982663,                                              -NA-                                                                                             ,                               NA                                                 
5,6 ,"Govt. Head Quarters Hospital, Dhindigul TN.",                                      Public                                    ,"                  Dindigul,         DINDIGUL,         TAMIL NADU                           ",hospsupdt_dgl@rediffmail.com,9444982664,                                              -NA-                                                                                             ,                               NA                                                 
6,7 ,"Govt.Head Quarters Hospital,Erode TN.",                                      Public                                    ,"                  Erode,         ERODE,         TAMIL NADU                           ",ragurs169@gmail.com,2333445566,                                              -NA-                                                                                             ,                               NA                                                 
7,8 ,"Govt. Head Quarters Hospital,Kancheepuram TN.",                                      Public                                    ,"                  Kancheepuram,         KANCHIPURAM,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,9486425702,                                              -NA-                                                                                             ,                               NA                                                 
8,9 ,"Govt.Head Quarters Hospital,Karur TN.",                                      Public                                    ,"                  Karur,         KARUR,         TAMIL NADU                           ",cmchiskarurgh@gmail.com,9556987456,                                              -NA-                                                                                             ,                               NA                                                 
9,10 ,"Govt.Head Quarters Hospital,Krishnagiri TN.",                                      Public                                    ,"                  Krishnagiri,         KRISHNAGIRI,         TAMIL NADU                           ",jdhs.krishnagiri@rediffmail.com,9600849347,                                              -NA-                                                                                             ,                               NA                                                 
0,11 ,"Govt. Head Quarters Hospital,Madurai TN.",                                      Public                                    ,"                  Madurai,         MADURAI,         TAMIL NADU                           ",jdhs.madurai@rediffmail.com,9865420652,                                              -NA-                                                                                             ,                               NA                                                 
1,12 ,"Govt.Head Quarters Hospital,Nagapattinam TN.",                                      Public                                    ,"                  Nagapattinam,         NAGAPATTINAM,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,9843048418,                                              -NA-                                                                                             ,                               NA                                                 
2,13 ,"Govt.Head Quarters Hospital,Namakkal TN.",                                      Public                                    ,"                  Namakkal,         NAMAKKAL,         TAMIL NADU                           ",jdhs.namakkal@rediffmail.com,9442224772,                                              -NA-                                                                                             ,                               NA                                                 
3,14 ,"Govt.Head Quarters Hospital,Nilgiris TN.",                                      Public                                    ,"                  Nilgiris,         THE NILGIRIS,         TAMIL NADU                           ",jdhs.thenilgiris@rediffmail.com,9443131285,                                              -NA-                                                                                             ,                               NA                                                 
4,15 ,"Govt.Hd.Quarters Hosp,Rajapalayam,Virudhunagar TN.",                                      Public                                    ,"                  Virudunagar,         VIRUDHUNAGAR,         TAMIL NADU                           ",cmchis.ghvnr@gmail.com,9443854748,                                              -NA-                                                                                             ,                               NA                                                 
5,16 ,"Govt.Head Quarters Hospital,Perambalur TN.",                                      Public                                    ,"                  Perambalur,         PERAMBALUR,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,9443952993,                                              -NA-                                                                                             ,                               NA                                                 
6,17 ,"Govt.Head Quarters Hospital,Virudhunagar TN.",                                      Public                                    ,"                  Virudunagar,         VIRUDHUNAGAR,         TAMIL NADU                           ",jdhs.virudhunagar@rediffmail.com,94421318631,                                              -NA-                                                                                             ,                               NA                                                 
7,18 ,"Dr.Muthulakshmi Memorial Distt HQ,Pudukkottai TN.",                                      Public                                    ,"                  Pudukkottai,         PUDUKKOTTAI,         TAMIL NADU                           ",jdhs.pudukottai@rediffmail.com,9489575762,                                              -NA-                                                                                             ,                               NA                                                 
8,19 ,"Govt.Head Qrtrs Hosp Kallakurichi,Villupuram TN.",                                      Public                                    ,"                  Viluppuram,         VILLUPURAM,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,94432222091,                                              -NA-                                                                                             ,                               NA                                                 
9,20 ,"Govt. Head Quarters Hospital,Ariyalur TN.",                                      Public                                    ,"                  Ariyalur,         Ariyalur,         TAMIL NADU                           ",ayyasamy@ttkhealthcareservices.com,9994883617,                                              -NA-                                                                                             ,                               NA                                                 
0,21 ,"Govt.Head Quarters Hospital,Ramanathapuram TN.",                                      Public                                    ,"                  Ramanathapuram,         RAMANATHAPURAM,         TAMIL NADU                           ",jdhs.ramanathapuram@rediffmail.com,9442511229,                                              -NA-                                                                                             ,                               NA                                                 
1,22 ,"Govt.Head Quarters Hospital,Tirupur TN.",                                      Public                                    ,"                  Tirupur,         TIRUPPUR,         TAMIL NADU                           ",jdhs.tiruppur@rediffmail.com,9442221020,                                              -NA-                                                                                             ,                               NA                                                 
2,23 ,"Govt. Head Qrtrs Hosp Kovilpatti,Tuticorin TN.",                                      Public                                    ,"                  Thoothukudi,         TUTICORIN,         TAMIL NADU                           ",jdhs.thoothukudi@rediffmail.com,9442054330,                                              -NA-                                                                                             ,                               NA                                                 
